Customer ID,date,day_of_week,trip_type,time_of_day,from_lat,from_lon,to_lat,to_lon,distance_km,ETA_min
1,2023-01-01,Sunday,Home to Office,09:00,12.872326002334418,77.58517852020704,12.992027125616302,77.69254136498088,24.75,60.09
1,2023-01-01,Sunday,Office to Home,19:00,12.992027125616302,77.69254136498088,12.872326002334418,77.58517852020704,24.75,30.33
1,2023-01-02,Monday,Home to Office,09:30,12.872326002334418,77.58517852020704,12.992027125616302,77.69254136498088,24.75,81.45
1,2023-01-02,Monday,Office to Home,17:30,12.992027125616302,77.69254136498088,12.872326002334418,77.58517852020704,24.75,63.41
1,2023-01-03,Tuesday,Home to Office,09:30,12.872326002334418,77.58517852020704,12.992027125616302,77.69254136498088,24.75,82.42
1,2023-01-03,Tuesday,Office to Home,19:00,12.992027125616302,77.69254136498088,12.872326002334418,77.58517852020704,24.75,38.97
1,2023-01-04,Wednesday,Home to Office,08:00,12.872326002334418,77.58517852020704,12.992027125616302,77.69254136498088,24.75,75.3
1,2023-01-04,Wednesday,Office to Home,18:00,12.992027125616302,77.69254136498088,12.872326002334418,77.58517852020704,24.75,66.78
1,2023-01-05,Thursday,Home to Office,09:00,12.872326002334418,77.58517852020704,12.992027125616302,77.69254136498088,24.75,73.68
1,2023-01-05,Thursday,Office to Home,19:00,12.992027125616302,77.69254136498088,12.872326002334418,77.58517852020704,24.75,34.98
1,2023-01-06,Friday,Home to Office,09:00,12.872326002334418,77.58517852020704,12.992027125616302,77.69254136498088,24.75,72.09
1,2023-01-06,Friday,Office to Home,19:00,12.992027125616302,77.69254136498088,12.872326002334418,77.58517852020704,24.75,31.43
1,2023-01-07,Saturday,Home to Office,09:30,12.872326002334418,77.58517852020704,12.992027125616302,77.69254136498088,24.75,79.02
1,2023-01-07,Saturday,Office to Home,18:30,12.992027125616302,77.69254136498088,12.872326002334418,77.58517852020704,24.75,79.52
1,2023-01-08,Sunday,Home to Office,09:30,12.872326002334418,77.58517852020704,12.992027125616302,77.69254136498088,24.75,81.45
